,city,state,area,time,number,score
105,Oxnard,California,930,9.984928555,4,372.561504
104,Des Moines,Iowa,765,6.187833048,3,370.8891275
7,San Diego,California,930,10.0844787,4,368.8837183
165,Alexandria,Virginia,910,23.29160967,9,351.6287674
74,Chula Vista,California,930,10.58562093,4,351.4201032
108,Fayetteville,North Carolina,270,2.536262428,3,319.3675824
2,Chicago,Illinois,664,25.66604802,12,310.4490412
147,Peoria,Arizona,777,2.680380048,1,289.8842649
87,Glendale,Arizona,777,2.726219326,1,285.0100843
94,Scottsdale,Arizona,777,2.729141771,1,284.7048872
5,Phoenix,Arizona,777,2.832717422,1,274.2949205
141,Tempe,Arizona,777,2.839622327,1,273.6279373
37,Mesa,Arizona,777,2.840513842,1,273.5420573
173,Joliet,Illinois,671,29.69585775,12,271.1489282
85,Gilbert,Arizona,777,2.935230714,1,264.7151368
77,Chandler,Arizona,777,3.0140695,1,257.7910032
42,Raleigh,North Carolina,270,3.27794146,3,247.1063043
159,Cary,North Carolina,270,3.320058376,3,243.9716138
14,Columbus,Ohio,541,13.70625328,6,236.8262087
80,Durham,North Carolina,399,7.201604189,4,221.6172894
182,Dayton,Ohio,344,5.000336142,3,206.386125
66,Greensboro,North Carolina,471,14.23883293,6,198.4713223
64,Cincinnati,Ohio,329,5.185371151,3,190.3431734
86,Winston-Salem,North Carolina,407,14.75988572,6,165.4484355
16,Charlotte,North Carolina,370,14.48383785,6,153.2742926
13,Indianapolis,Indiana,329,6.955127662,3,141.9096885
29,Louisville/Jefferson County,Kentucky,185,2.74913114,2,134.5879775
97,Richmond,Virginia,269,9.925946949,4,108.4027555
138,Santa Rosa,California,240,2.5735022,1,93.25812894
60,Lexington-Fayette,Kentucky,185,4.302641056,2,85.99369438
128,Knoxville,Tennessee,100,7.137240147,4,56.0440719
59,St. Louis,Missouri,30,0.5673913,1,52.87356362
169,Kansas City,Kansas,30,0.579606346,1,51.75926766
36,Kansas City,Missouri,30,0.634082928,1,47.31242346
127,Overland Park,Kansas,30,0.737704912,1,40.666667
193,Olathe,Kansas,30,0.847032907,1,35.4177503
194,Columbia,South Carolina,58,5.419868596,2,21.40273292
140,Chattanooga,Tennessee,8,5.432635664,2,2.945163451
38,Atlanta,Georgia,8,2.743484487,1,2.915999721
120,Augusta-Richmond County,Georgia,8,2.967345651,1,2.696012174
156,McKinney,Texas,0,0,0,1
162,Pasadena,Texas,0,0,0,1
3,Houston,Texas,0,0,0,1
188,Hampton,Virginia,0,0,0,1
163,Macon-Bibb County,Georgia,0,0,0,1
11,Jacksonville,Florida,0,0,0,1
10,Austin,Texas,0,0,0,1
172,Hollywood,Florida,0,0,0,1
187,Killeen,Texas,0,0,0,1
8,Dallas,Texas,0,0,0,1
175,Clarksville,Tennessee,0,0,0,1
191,Miramar,Florida,0,0,0,1
178,Frisco,Texas,0,0,0,1
179,Mesquite,Texas,0,0,0,1
180,Savannah,Georgia,0,0,0,1
6,San Antonio,Texas,0,0,0,1
186,McAllen,Texas,0,0,0,1
48,Wichita,Kansas,0,0,0,1
22,Memphis,Tennessee,0,0,0,1
15,Fort Worth,Texas,0,0,0,1
151,Salem,Oregon,0,0,0,1
32,Tucson,Arizona,0,0,0,1
95,Baton Rouge,Louisiana,0,0,0,1
92,Irving,Texas,0,0,0,1
91,Chesapeake,Virginia,0,0,0,1
90,Garland,Texas,0,0,0,1
89,Hialeah,Florida,0,0,0,1
84,Lubbock,Texas,0,0,0,1
83,Norfolk,Virginia,0,0,0,1
79,Laredo,Texas,0,0,0,1
78,St. Petersburg,Florida,0,0,0,1
72,Orlando,Florida,0,0,0,1
39,Virginia Beach,Virginia,0,0,0,1
69,Plano,Texas,0,0,0,1
43,Miami,Florida,0,0,0,1
46,Tulsa,Oklahoma,0,0,0,1
57,Corpus Christi,Texas,0,0,0,1
54,Honolulu,Hawaii,0,0,0,1
52,Tampa,Florida,0,0,0,1
50,Arlington,Texas,0,0,0,1
100,Birmingham,Alabama,0,0,0,1
26,Oklahoma City,Oklahoma,0,0,0,1
110,Columbus,Georgia,0,0,0,1
129,Brownsville,Texas,0,0,0,1
149,Pembroke Pines,Florida,0,0,0,1
148,Springfield,Missouri,0,0,0,1
146,Sioux Falls,South Dakota,0,0,0,1
143,Cape Coral,Florida,0,0,0,1
142,Jackson,Mississippi,0,0,0,1
139,Port St. Lucie,Florida,0,0,0,1
134,Fort Lauderdale,Florida,0,0,0,1
131,Newport News,Virginia,0,0,0,1
126,Grand Prairie,Texas,0,0,0,1
24,Nashville-Davidson,Tennessee,0,0,0,1
125,Tallahassee,Florida,0,0,0,1
124,Huntsville,Alabama,0,0,0,1
49,New Orleans,Louisiana,0,0,0,1
121,Mobile,Alabama,0,0,0,1
119,Amarillo,Texas,0,0,0,1
118,Little Rock,Arkansas,0,0,0,1
116,Shreveport,Louisiana,0,0,0,1
113,Montgomery,Alabama,0,0,0,1
198,Waco,Texas,0,0,0,1
