city,state,area,time,number
Santa Rosa   ,California,240,2.5735022,1
Port St. Lucie   ,Florida,,,0
Chattanooga   ,Tennessee,8,5.432635664,2
Tempe   ,Arizona,777,2.839622327,1
Jackson   ,Mississippi,,,0
Cape Coral   ,Florida,,,0
Vancouver   ,Washington,16390,22.42740036,10
Ontario   ,California,930,2.773417723,4
Sioux Falls   ,South Dakota,,,0
Peoria   ,Arizona,777,2.680380048,1
Springfield   ,Missouri,,,0
Pembroke Pines   ,Florida,,,0
Elk Grove   ,California,27955,34.05771422,17
Salem   ,Oregon,,,0
Corona   ,California,930,3.444609742,4
Lancaster   ,California,930,5.364435044,4
Eugene   ,Oregon,9789,14.72303673,7
Palmdale   ,California,930,4.862262333,4
McKinney   ,Texas,,,0
Salinas   ,California,1190,8.022815304,3
Fort Collins   ,Colorado,26060,25.81841735,13
Cary   ,North Carolina,270,3.320058376,3
Hayward   ,California,7170,16.17885913,6
Springfield   ,Massachusetts,10609,102.7182908,55
Pasadena   ,Texas,,,0
Macon-Bibb County   ,Georgia,,,0
Pomona   ,California,930,3.104011114,4
Alexandria   ,Virginia,910,23.29160967,9
Escondido   ,California,930,7.627928424,4
Sunnyvale   ,California,5170,13.71684443,5
Lakewood   ,Colorado,28407,25.99298188,15
Kansas City   ,Kansas,30,0.579606346,1
Rockford   ,Illinois,1110,26.2700597,14
Torrance   ,California,930,6.324934021,4
Hollywood   ,Florida,,,0
Joliet   ,Illinois,671,29.69585775,12
Bridgeport   ,Connecticut,7232,105.4785903,48
Clarksville   ,Tennessee,,,0
Paterson   ,New Jersey,5182,66.25428908,37
Naperville   ,Illinois,1206,39.79269675,16
Frisco   ,Texas,,,0
Mesquite   ,Texas,,,0
Savannah   ,Georgia,,,0
Syracuse   ,New York,4752,69.3437029,33
Dayton   ,Ohio,344,5.000336142,3
Pasadena   ,California,930,4.656594224,4
Orange   ,California,930,4.581357555,4
Fullerton   ,California,930,4.461547383,4
McAllen   ,Texas,,,0
Killeen   ,Texas,,,0
Hampton   ,Virginia,,,0
Bellevue   ,Washington,10946,8.125443101,7
Warren   ,Michigan,1590,25.89749063,13
Miramar   ,Florida,,,0
West Valley City   ,Utah,29428,11.13868677,13
Olathe   ,Kansas,30,0.847032907,1
Columbia   ,South Carolina,58,5.419868596,2
Sterling Heights   ,Michigan,1590,26.01479624,13
Thornton   ,Colorado,28407,27.95096213,15
New Haven   ,Connecticut,7664,108.4632431,49
Waco   ,Texas,,,0
Charleston   ,South Carolina,,,0
Thousand Oaks   ,California,930,8.222395169,4
Visalia   ,California,3140,12.07515929,5
Cedar Rapids   ,Iowa,389,12.80271734,6
Elizabeth   ,New Jersey,4870,65.27134154,34
Roseville   ,California,27955,30.42224903,17
Gainesville   ,Florida,,,0
Carrollton   ,Texas,,,0
Stamford   ,Connecticut,6677,88.76255945,43
Denton   ,Texas,,,0
Midland   ,Texas,,,0
Coral Springs   ,Florida,,,0
Concord   ,California,25255,42.51860295,15
Topeka   ,Kansas,710,4.282074003,2
Simi Valley   ,California,930,7.894231951,4
Surprise   ,Arizona,777,2.661791724,1
Lafayette   ,Louisiana,,,0
Kent   ,Washington,13096,11.30102952,8
Hartford   ,Connecticut,10564,116.3435349,56
Santa Clara   ,California,5170,13.3223711,5
Victorville   ,California,3395,5.520484682,5
Abilene   ,Texas,,,0
Murfreesboro   ,Tennessee,,,0
Evansville   ,Indiana,65,1.658500615,1
Vallejo   ,California,25167,41.44988252,14
Athens-Clarke County,Georgia,73,7.833315298,3
Allentown   ,Pennsylvania,4408,56.3764375,31
Berkeley   ,California,7082,13.65872291,5
Norman   ,Oklahoma,,,0
Ann Arbor   ,Michigan,1860,35.68383038,17
Beaumont   ,Texas,,,0
Independence   ,Missouri,30,0.784335536,1
Columbia   ,Missouri,60,5.472508467,2
Springfield   ,Illinois,58,5.289509542,2
El Monte   ,California,930,4.232404831,4
Fargo   ,North Dakota,65,4.388385636,2
Peoria   ,Illinois,246,13.0267326,5
Provo   ,Utah,29428,12.59666315,13
Lansing   ,Michigan,2234,26.12820392,15
Odessa   ,Texas,,,0
Downey   ,California,930,5.07153945,4
Wilmington   ,North Carolina,270,6.582979153,3
Arvada   ,Colorado,28407,25.9486518,15
Costa Mesa   ,California,930,5.478842388,4
Round Rock   ,Texas,,,0
Carlsbad   ,California,930,7.342413294,4
Miami Gardens   ,Florida,,,0
Westminster   ,Colorado,28407,26.81982835,15
Inglewood   ,California,930,6.044206878,4
Rochester   ,Minnesota,936,22.46231537,12
Fairfield   ,California,25255,40.07156756,15
Elgin   ,Illinois,1336,41.86234768,18
West Jordan   ,Utah,29428,10.61188184,13
Clearwater   ,Florida,,,0
Manchester   ,New Hampshire,13741,97.23340516,54
Lowell   ,Massachusetts,12056,102.7147999,52
Gresham   ,Oregon,13571,14.78994608,8
Cambridge   ,Massachusetts,10268,101.0006333,47
San Buenaventura (Ventura)   ,California,930,10.23994713,4
Temecula   ,California,930,5.33797886,4
Waterbury   ,Connecticut,8938,112.2473482,54
Antioch   ,California,25255,38.80795646,15
Billings   ,Montana,4724,12.24417558,5
High Point   ,North Carolina,297,7.965850268,4
Richardson   ,Texas,,,0
Richmond   ,California,7082,13.98434413,5
West Covina   ,California,930,3.823803218,4
Pueblo   ,Colorado,27062,39.3625281,14
Murrieta   ,California,930,4.95817169,4
Centennial   ,Colorado,28407,29.51651963,15
Norwalk   ,California,930,4.968326126,4
North Charleston   ,South Carolina,50,3.230477438,1
Everett   ,Washington,10946,9.585585226,7
Pompano Beach   ,Florida,,,0
Daly City   ,California,1102,5.117715454,2
Palm Bay   ,Florida,,,0
Burbank   ,California,930,5.463909792,4
Wichita Falls   ,Texas,,,0
Boulder   ,Colorado,28407,24.05511651,15
Green Bay   ,Wisconsin,2578,44.51856616,19
Broken Arrow   ,Oklahoma,,,0
West Palm Beach   ,Florida,,,0
College Station   ,Texas,,,0
Pearland   ,Texas,,,0
Santa Maria   ,California,,,0
El Cajon   ,California,930,9.709849221,4
San Mateo   ,California,2782,8.017044034,3
Lewisville   ,Texas,,,0
Rialto   ,California,930,2.24504854,4
Davenport   ,Iowa,673,18.05586558,8
Lakeland   ,Florida,,,0
Clovis   ,California,9120,17.18615146,8
Sandy Springs   ,Georgia,8,5.555579571,2
Tyler   ,Texas,,,0
Las Cruces   ,New Mexico,1310,3.742115117,2
South Bend   ,Indiana,615,17.29218209,9
Kenosha   ,Wisconsin,1353,34.43349816,17
Erie   ,Pennsylvania,2362,26.70203183,13
Roanoke   ,Virginia,738,18.65015033,8
Hillsboro   ,Oregon,13571,17.49941529,8
