city,state,area,time,number
Eugene,Oregon,9789,14.72303673,7
Palmdale,California,930,4.862262333,4
McKinney,Texas,,,0
Salinas,California,1190,8.022815304,3
Fort Collins,Colorado,26060,25.81841735,13
Cary,North Carolina,270,3.320058376,3
Hayward,California,7170,16.17885913,6
Springfield,Massachusetts,10609,102.7182908,55
Pasadena,Texas,,,0
Macon-Bibb County,Georgia,,,0
Pomona,California,930,3.104011114,4
Alexandria,Virginia,910,23.29160967,9
Escondido,California,930,7.627928424,4
Sunnyvale,California,5170,13.71684443,5
Lakewood,Colorado,28407,25.99298188,15
Kansas City,Kansas,30,0.579606346,1
Rockford,Illinois,1110,26.2700597,14
Torrance,California,930,6.324934021,4
Hollywood,Florida,,,0
Joliet,Illinois,671,29.69585775,12
Bridgeport,Connecticut,7232,105.4785903,48
Clarksville,Tennessee,,,0
Paterson,New Jersey,5182,66.25428908,37
Naperville,Illinois,1206,39.79269675,16
Frisco,Texas,,,0
Mesquite,Texas,,,0
Savannah,Georgia,,,0
Syracuse,New York,4752,69.3437029,33
Dayton,Ohio,344,5.000336142,3
Pasadena,California,930,4.656594224,4
Orange,California,930,4.581357555,4
Fullerton,California,930,4.461547383,4
McAllen,Texas,,,0
Killeen,Texas,,,0
Hampton,Virginia,,,0
Bellevue,Washington,10946,8.125443101,7
Warren,Michigan,1590,25.89749063,13
Miramar,Florida,,,0
West Valley City,Utah,29428,11.13868677,13
Olathe,Kansas,30,0.847032907,1
Columbia,South Carolina,58,5.419868596,2
Sterling Heights,Michigan,1590,26.01479624,13
Thornton,Colorado,28407,27.95096213,15
New Haven,Connecticut,7664,108.4632431,49
Waco,Texas,,,0
